customer ID,rating (out of 5),book ID
2, 4, 191634412
5, 1, 532955518
3, 5, 639680525
5, 5, 713826945
2, 3, 565250048
5, 2, 518067223
5, 2, 682680387
6, 1, 568490563
6, 3, 456708044
1, 2, 872883601
6, 1, 817593217
6, 5, 868147099
7, 3, 054133566
8, 1, 729484098
1, 3, 011539662
7, 3, 506319322
1, 4, 476546023
3, 4, 518067223
6, 5, 812915358
3, 2, 019241416
9, 3, 045523942
5, 4, 103201942
6, 1, 165519489
7, 4, 825732516
2, 5, 309798465
3, 4, 882720833
5, 4, 200368010
4, 2, 648483655
0, 5, 167363836
4, 5, 521210861
